Poem Name_SN,Poem Name_EN,Poet_SN,Poet_EN,Year,Line,Metaphor present or not,Count of the metaphor,Target domain,Source domain,Metaphorical term
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,නිදහස මහ මුහදක්‌ වේ,yes,1,නිදහස,මහ මුහදක්‌ වේ,නිදහස මහ මුහදක්‌ වේ
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,එහි උල්පත පුත නුඹ වේ,yes,1,උල්පත,පුත නුඹ වේ,උල්පත පුත නුඹ වේ
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,දොරමඞඩලේ කුමරිඳු වේ,yes,1,දොරමඞඩලේ,කුමරිඳු වේ,දොරමඞඩලේ කුමරිඳු වේ
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,ජාතිය රන් විමනක්චේ,yes,1,ජාතිය,රන් විමනක්චේ,ජාතිය රන් විමනක්චේ
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,ආගම මිණි පහනක්චේ,yes,1,ආගම,මිණි පහනක්චේ,ආගම මිණි පහනක්චේ
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,සිරිකත මිණි විජිනි පතින්,yes,1,සිරිකත,මිණි විජිනි පතින්,සිරිකත මිණි විජිනි පතින්
ජාතික තොටිල්ල,jathika thotilla,ඇස්‌.මහින්ද හිමි,S. Mahinda Thero,1936,පුත නුඹ හද මල්‌ ගොමුවේ,yes,1,පුත නුඹ හද,මල්‌ ගොමුවේ,පුත නුඹ හද මල්‌ ගොමුවේ
ප්‍රබුද්ධ,prabuddha,මහගම සේකර,Mahagama Sekara,1977,දහදිය මුතු ඇට මල් වරුසා වී,yes,2,දහදිය,මුතු ඇට,දහදිය මුතු ඇට
ප්‍රබුද්ධ,prabuddha,මහගම සේකර,Mahagama Sekara,1977,දහදිය මුතු ඇට මල් වරුසා වී,yes,2,දහදිය මුතු ඇට,මල් වරුසා වී,දහදිය මුතු ඇට මල් වරුසා වී
ප්‍රබුද්ධ,prabuddha,මහගම සේකර,Mahagama Sekara,1977,දෑතේ කරගැට සිඹ සනසන්නට,yes,1,දෑතේ කරගැට,සිඹ සනසන්නට,දෑතේ කරගැට සිඹ සනසන්නට
රන් තැටියක කදුළු,ran thatiyaka kandulu,දයාසේන ගුණසිංහ,dayasena gunasinghe,1974,සෙනෙහසේ නිධානය,yes,1,සෙනෙහසේ,නිධානය,සෙනෙහසේ නිධානය
ප්‍රබුද්ධ,prabuddha,මහගම සේකර,Mahagama Sekara,1977,අඩ සඳ මෝරන මැදියම් අහසින්,yes,1,අඩ සඳ,මෝරන,අඩ සඳ මෝරන
ප්‍රබුද්ධ,prabuddha,මහගම සේකර,Mahagama Sekara,1977,"මා ගත  වෙහෙසට ආදරයෙන් දිය
උල්පත සාදන පුංචි පුතුන්",yes,1,ආදරයෙන්,දිය උල්පත,"ආදරයෙන් දිය
උල්පත "
ප්‍රබුද්ධ,prabuddha,මහගම සේකර,Mahagama Sekara,1977,පුංචි පුතා රජ කරනු පෙනේ,yes,1,පුංචි පුතා,රජ,පුංචි පුතා රජ
වස්සානය,wassanaya,රත්න ශ්‍රී විජේසිංහ,Rathna Sri Wijesinghe,1975,ඔය දෑල දොඩමලුය සුවඳ බැරැවා ඉන්ට,yes,1,ඔය දෑල,දොඩමලුය,ඔය දෑල දොඩමලුය
වස්සානය,wassanaya,රත්න ශ්‍රී විජේසිංහ,Rathna Sri Wijesinghe,1975,කෙකටියා පඳුර සුදු මල්‌ පොකුර වඩාගෙන,yes,1,කෙකටියා පඳුර,සුදු මල්‌ පොකුර වඩාගෙන,කෙකටියා පඳුර සුදු මල්‌ පොකුර වඩාගෙන
වස්සානය,wassanaya,රත්න ශ්‍රී විජේසිංහ,Rathna Sri Wijesinghe,1975,සෙනේහය පිරි ගිය ඔබෙ නයන නිල්‌ පොකුණ,yes,1,නයන,නිල්‌ පොකුණ,ඔබෙ නයන නිල්‌ පොකුණ
වස්සානය,wassanaya,රත්න ශ්‍රී විජේසිංහ,Rathna Sri Wijesinghe,1975,වැහි වලාකුළු රංචු කඳු මුදුන්වල ලගින,yes,1,වැහි වලාකුළු රංචු,කඳු මුදුන්වල,වැහි වලාකුළු රංචු කඳු මුදුන්වල
වස්සානය,wassanaya,රත්න ශ්‍රී විජේසිංහ,Rathna Sri Wijesinghe,1975,ඇඳි ඇදී ඉකි ගැසූ ගඟ නැවත පිරිපුන්‌ ය,yes,1,ගඟ,ඇඳි ඇදී ඉකි ගැසූ,ඇඳි ඇදී ඉකි ගැසූ ගඟ
ගංගාවේ සංගීතය,gangawe sangeethaya,එච්‌. එම්‌. කුඩලිගම,H. M. Kudaligama,1973,හිරිමල්‌ සිනා රැළි පෙණ පිඬු මිහිරිත ම,yes,1,රැළි පෙණ,හිරිමල්‌ සිනා,හිරිමල්‌ සිනා රැළි පෙණ
ගංගාවේ සංගීතය,gangawe sangeethaya,එච්‌. එම්‌. කුඩලිගම,H. M. Kudaligama,1973,රන් තරු පිරිවරා ගත් සඳ මඬල යට,yes,1,තරු,රන්,රන් තරු
ගංගාවේ සංගීතය,gangawe sangeethaya,එච්‌. එම්‌. කුඩලිගම,H. M. Kudaligama,1973,කලදෝ දියෙන්‌ පොඟවා රන්‌ පුලින තලා,yes,1,කලදෝ,දියෙන්‌,කලදෝ දියෙන්‌
ගුත්තිල කාව්‍යය,guththila kawya,වෑත්තෑවේ හිමියන්‌,Waththawe Himi,-,දිමුතු යසස් වන් කුසුම සරා ගේ,yes,1,දිමුතු යසස් වන්,කුසුම,දිමුතු යසස් වන් කුසුම
විකසිත මගෙ සිත,vikasitha mage sitha,අනුරා  ශ්‍රී කුමාරී,Anura Sri Kumari,2018,දිවියෙ ගන අඳුරට,yes,1,දිවියෙ,ගන අඳුරට,දිවියෙ ගන අඳුරට
විකසිත මගෙ සිත,vikasitha mage sitha,අනුරා  ශ්‍රී කුමාරී,Anura Sri Kumari,2018, මගෙ දිවියේ මං පෙත් ද,yes,1,මගෙ දිවියේ,මං පෙත් ද, මගෙ දිවියේ මං පෙත් ද
විකසිත මගෙ සිත,vikasitha mage sitha,අනුරා  ශ්‍රී කුමාරී,Anura Sri Kumari,2018,ඔබේ සෙනෙහස අපට සවිමත් කුලුණක් ය,yes,1,ඔබේ සෙනෙහස,අපට සවිමත් කුලුණක් ය,ඔබේ සෙනෙහස අපට සවිමත් කුලුණක් ය
විකසිත මගෙ සිත,vikasitha mage sitha,අනුරා  ශ්‍රී කුමාරී,Anura Sri Kumari,2018,ජීවන රුකේ දුක් අඩවියේ අතු පතරේ,yes,1,ජීවන රුකේ,දුක් අඩවියේ,ජීවන රුකේ දුක් අඩවියේ
විකසිත මගෙ සිත,vikasitha mage sitha,අනුරා  ශ්‍රී කුමාරී,Anura Sri Kumari,2018,ලුණු රසවුණා ජලයත් මේ මහ සයුරේ,yes,1,මහ සයුරේ,ලුණු රසවුණා ජලයත් මේ,ලුණු රසවුණා ජලයත් මේ මහ සයුරේ
